timestamp,level,cmdb_id,failure_type,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25,Top26,Top27,Top28,Top29,Top30,Top31,Top32,Top33,Top34,Top35,Top36,Top37,Top38,Top39,Top40,Top41,Top42,Top43,Top44,Top45,Top46
1651858208,service,productcatalogservice,Kubernetes Container Network Resource Packet Corruption,productcatalogservice-1:0.4996853390088211,productcatalogservice-2:0.498810629909009,productcatalogservice-0:0.4710088809084814,frontend-1:0.47042021597673095,frontend-0:0.4503975931913924,frontend-2:0.4355738104642149,productcatalogservice2-0:0.43543907156884304,shippingservice2-0:0.39144708161072334,checkoutservice-2:0.37682789908557673,frontend2-0:0.36997614279269736,currencyservice2-0:0.36577052070734584,shippingservice-2:0.35255972337553604,checkoutservice-1:0.3475701289169471,checkoutservice-0:0.3448321082768125,paymentservice-1:0.3220191200956125,emailservice2-0:0.316748592546751,paymentservice-0:0.30574845515920895,recommendationservice2-0:0.30338330970219246,shippingservice-0:0.3019946970173549,paymentservice2-0:0.2934318430199942,shippingservice-1:0.29238387131790294,paymentservice-2:0.28870883306878375,emailservice-2:0.28766748676418913,recommendationservice-1:0.278610352281678,checkoutservice2-0:0.27793001904413134,emailservice-1:0.26669358963090706,emailservice-0:0.2517132620918916,recommendationservice-2:0.23645660590620934,cartservice-2:0.22918265900600984,recommendationservice-0:0.2245071416557215,currencyservice-1:0.20985641812484798,adservice-0:0.1885300142852244,adservice2-0:0.1783705901961703,adservice-2:0.17660671890707266,currencyservice-2:0.1756435214233045,currencyservice-0:0.1661674243088085,adservice-1:0.14411311612649955,cartservice2-0:0.13447461331570268,cartservice-1:0.127677181845914,cartservice-0:0.10615714659329341,node-3:0.08450793441427047,node-6:0.08294865553496732,node-4:0.0696859343046396,node-5:0.0501427752807419,node-2:0.03165238456446273,node-1:0.025165645153104113
1651859583,pod,frontend-2,Kubernetes Container Write I/O Load,frontend2-0:0.48725590350977316,productcatalogservice2-0:0.4530510330253483,currencyservice2-0:0.4038618090409069,productcatalogservice-2:0.3944219432170188,shippingservice2-0:0.37623257281517075,checkoutservice-1:0.3599672967025211,cartservice-1:0.35833766625565117,paymentservice-0:0.35533620363087,productcatalogservice-0:0.351694770679317,frontend-0:0.3451795625700039,productcatalogservice-1:0.3361427989474341,checkoutservice-0:0.33064383564382266,shippingservice-1:0.3304673204281686,paymentservice-2:0.3284756394251162,checkoutservice2-0:0.3208927439551534,cartservice2-0:0.3163227134297398,adservice-0:0.31537956784283844,frontend-2:0.31237628734765627,adservice2-0:0.3121152249887855,currencyservice-0:0.3035602348649693,paymentservice2-0:0.3026016139577373,recommendationservice-2:0.29711361935824643,checkoutservice-2:0.29582360449030004,shippingservice-0:0.27321505872939256,currencyservice-1:0.272345293894783,emailservice2-0:0.27230509003259723,adservice-2:0.27226804105922925,cartservice-0:0.2715494966172514,node-3:0.2657152919322085,currencyservice-2:0.26469172132075386,cartservice-2:0.2612629620328032,recommendationservice-1:0.26072923891576033,node-5:0.2516915363535723,paymentservice-1:0.24689669219364227,shippingservice-2:0.24682575090309858,frontend-1:0.2459429055648147,adservice-1:0.2309362560987324,recommendationservice-0:0.22517311129547554,emailservice-0:0.20308815332590405,recommendationservice2-0:0.19830982298981756,emailservice-1:0.1873971509303012,node-4:0.18678208318929213,node-6:0.15440696340646162,emailservice-2:0.13809214410616857,node-1:0.13328491408662393,node-2:0.0631090050279919
1651860249,node,node-2,Node Disk Space Consumption,node-2:0.48935563478851557,node-6:0.3220620052373584,node-5:0.29041386710163514,currencyservice2-0:0.27891487761657147,shippingservice2-0:0.2532677298745149,node-4:0.24566899762028752,emailservice2-0:0.23854902024403932,productcatalogservice2-0:0.23549950648641424,frontend2-0:0.23100167389390078,paymentservice2-0:0.2216855961923878,node-1:0.21683526050120014,recommendationservice-0:0.21477737040920084,productcatalogservice-2:0.21307452740051377,adservice-2:0.21281805762730846,currencyservice-1:0.21227196351349872,shippingservice-0:0.20701506894451252,cartservice2-0:0.20463889878130562,shippingservice-2:0.20242651444516166,productcatalogservice-0:0.20138823179184764,currencyservice-2:0.19611210695991665,shippingservice-1:0.19524701140319242,recommendationservice-1:0.18841085534160895,currencyservice-0:0.18770739728953723,checkoutservice-1:0.1867176239542264,checkoutservice-2:0.1853741475035282,adservice2-0:0.18504490288443684,cartservice-2:0.1820272593389135,paymentservice-2:0.17229485685106347,paymentservice-0:0.1609628591480366,recommendationservice-2:0.1602898189602587,node-3:0.15950008121787235,recommendationservice2-0:0.1567194702689438,checkoutservice2-0:0.15498259136503223,paymentservice-1:0.151756212706579,adservice-1:0.1516152480294864,productcatalogservice-1:0.15110354865177433,cartservice-1:0.14949974821577625,checkoutservice-0:0.14669622723276962,frontend-1:0.14519840567691775,frontend-0:0.14442555165971457,emailservice-1:0.13628737067391125,frontend-2:0.13088302049007214,adservice-0:0.13019633683964202,emailservice-2:0.11682990549050203,cartservice-0:0.11222685086856155,emailservice-0:0.07019017216326782
1651863211,service,emailservice,Kubernetes Container Network Packet Loss,emailservice-0:0.680201513557781,emailservice-1:0.5187148741350746,emailservice-2:0.47285117197079174,shippingservice2-0:0.4228759673639433,currencyservice2-0:0.34821990230816535,currencyservice-0:0.33011318846552623,productcatalogservice2-0:0.3282615574948239,emailservice2-0:0.3277242823830225,cartservice-1:0.3106638010288722,productcatalogservice-0:0.3057014965333405,checkoutservice-1:0.28887995381347575,shippingservice-0:0.260034921701272,currencyservice-1:0.2595491395709971,productcatalogservice-2:0.2578885105189832,cartservice-2:0.25696462476233883,paymentservice-0:0.2503524373171903,checkoutservice2-0:0.2488937521927471,cartservice-0:0.24803846161455115,checkoutservice-0:0.24689570329413177,adservice-0:0.24056053850201956,checkoutservice-2:0.23456688477122067,cartservice2-0:0.23398524088800954,shippingservice-1:0.22892001037763102,paymentservice-1:0.22824830303105292,adservice2-0:0.22673149276125892,paymentservice2-0:0.21880863160032707,productcatalogservice-1:0.216879982902512,recommendationservice-1:0.21526106355420027,adservice-1:0.20534170626072792,paymentservice-2:0.2025535157328511,shippingservice-2:0.20090015439256073,frontend-1:0.19444153824443397,frontend2-0:0.19384769732177146,currencyservice-2:0.19164751387412668,adservice-2:0.17600171118989028,recommendationservice-0:0.16781716014024542,recommendationservice-2:0.15587408161910088,frontend-0:0.14961172709328366,recommendationservice2-0:0.1262851417321991,frontend-2:0.09242544572854265,node-1:0.0063989104552694236,node-5:0.000879830194322933,node-2:0.0003565198502899905,node-3:0.0001318230136349074,node-4:9.749833047236762e-05,node-6:9.461556147654304e-05
1651863857,node,node-6,Node Disk Write I/O Consumption,node-6:0.6645956379309659,node-2:0.45381396689466835,node-1:0.39240421563151945,node-4:0.3792817907930098,node-3:0.354361388799505,node-5:0.24540820891752177,checkoutservice-0:0.1067494689506389,frontend-2:0.08900393317799658,checkoutservice-1:0.08647702340565955,frontend-0:0.08240736331381888,recommendationservice-2:0.07782175365928783,checkoutservice-2:0.05692829297583074,emailservice2-0:0.052179046779235634,currencyservice-0:0.0441327077343097,shippingservice-2:0.04406601880056127,paymentservice-1:0.04402509628514478,currencyservice-2:0.04364128672725046,emailservice-2:0.041832255989498794,productcatalogservice-2:0.04129261286805353,recommendationservice-0:0.04025320235364722,productcatalogservice-1:0.040127651676641785,paymentservice-0:0.03905463438287427,frontend-1:0.037950180621464186,shippingservice-1:0.037148910311841477,emailservice-0:0.03697687928780309,shippingservice-0:0.03697263901866982,cartservice-1:0.036791677946241365,cartservice-0:0.036679299605189196,adservice2-0:0.03663856046727717,currencyservice-1:0.03618014307201123,emailservice-1:0.03571446012313996,recommendationservice-1:0.03562220999707611,cartservice2-0:0.03453973063822101,paymentservice2-0:0.03388509605119151,checkoutservice2-0:0.03232774224274061,adservice-2:0.03227587945563302,recommendationservice2-0:0.03156519514579775,cartservice-2:0.02955378611876767,adservice-1:0.02925745330571214,shippingservice2-0:0.028817085147498492,paymentservice-2:0.028061003336996588,adservice-0:0.02657907996061559,productcatalogservice-0:0.023773191810045488,frontend2-0:0.02209898126500086,currencyservice2-0:0.0219794074629024,productcatalogservice2-0:0.019454673195771096
1651867434,node,node-5,Node Disk Space Consumption,node-5:0.5501881120617883,node-2:0.5386204050563062,node-3:0.5241070072434965,node-6:0.47559467000425903,node-4:0.4737213340520885,node-1:0.3860816103116287,frontend-1:0.12377413676820737,frontend-2:0.11300899898939494,currencyservice-1:0.10987379867136965,adservice-2:0.10777139618902638,productcatalogservice-2:0.1058992229391716,shippingservice-1:0.10550353435216749,checkoutservice2-0:0.10397590976594939,shippingservice-0:0.10260877075236828,cartservice-0:0.10245118049053366,adservice-1:0.10126821209356494,productcatalogservice-1:0.1007414762099497,cartservice-1:0.09777993597402297,currencyservice-0:0.09548219562129956,adservice-0:0.09446007190116322,emailservice-1:0.09292761946272247,productcatalogservice-0:0.08917068235543742,checkoutservice-1:0.0888990071594788,emailservice-0:0.0831110917325037,checkoutservice-2:0.0824558231458616,paymentservice2-0:0.08184235858225532,shippingservice-2:0.08169605627073177,checkoutservice-0:0.08109238700427963,cartservice-2:0.08056710273576599,adservice2-0:0.07945589998054131,emailservice-2:0.07923964785299863,currencyservice-2:0.0771429617994066,recommendationservice2-0:0.0757591127847476,cartservice2-0:0.07335134691903548,shippingservice2-0:0.07322531548455889,recommendationservice-1:0.07227932818041412,recommendationservice-2:0.07150601511450184,recommendationservice-0:0.06498117956983433,paymentservice-1:0.06367074198318542,productcatalogservice2-0:0.06259592112042926,paymentservice-2:0.06148109660981863,emailservice2-0:0.058323923416978306,frontend-0:0.05765824731034063,frontend2-0:0.0544858604815294,currencyservice2-0:0.053654942734020244,paymentservice-0:0.052076664221769466
1651870394,pod,productcatalogservice-2,Kubernetes Container Network Latency,productcatalogservice-2:0.85405756249674,frontend-1:0.6606856636569622,frontend-2:0.6548241706909099,frontend-0:0.6273458136773429,emailservice-1:0.5997530816167279,recommendationservice-0:0.5986049718480054,recommendationservice-2:0.5971360619427509,recommendationservice-1:0.5844700068212878,checkoutservice-0:0.5489962237114983,checkoutservice-2:0.5471004319289692,adservice-2:0.536329236604351,checkoutservice-1:0.5355511367719638,emailservice-2:0.488119122608913,adservice-1:0.4877337714089987,adservice-0:0.47794473564211143,productcatalogservice-1:0.4483751400687908,productcatalogservice-0:0.44673594233331637,paymentservice-2:0.44141262607824916,paymentservice-1:0.39029156799389403,shippingservice-1:0.38878545883804994,paymentservice-0:0.38686821215386996,currencyservice-0:0.3699627366872609,shippingservice-2:0.364747582560005,currencyservice-2:0.35988956031612657,cartservice-1:0.3454458033660475,currencyservice-1:0.3427027651641586,emailservice-0:0.3423583726088239,cartservice-2:0.34006284644152646,shippingservice-0:0.3300480856982067,cartservice-0:0.24743797708595092,paymentservice2-0:0.1508729407941463,node-3:0.1360455658767385,adservice2-0:0.12881595688306668,emailservice2-0:0.12038632420787837,cartservice2-0:0.1202861615321681,checkoutservice2-0:0.11911201124763741,shippingservice2-0:0.11657654596513618,node-5:0.11597884004326837,frontend2-0:0.11357171147960017,recommendationservice2-0:0.10846695458744633,productcatalogservice2-0:0.10486954549104173,node-6:0.09733659697522763,node-2:0.08291985658495331,currencyservice2-0:0.06694310570209618,node-4:0.06449411416505786,node-1:0.03950003423515642
1651872135,node,node-5,Node Memory Consumption,node-5:0.42262339579637836,node-4:0.3430252649575643,emailservice-0:0.33057923088524704,shippingservice-1:0.29492239434610246,productcatalogservice-1:0.28863603033255747,frontend-2:0.28575599075440034,frontend-1:0.27502796646313543,productcatalogservice-0:0.2534841974711806,adservice-0:0.24440010565873327,currencyservice-1:0.23034392579978688,shippingservice-0:0.22893134800228454,recommendationservice-1:0.22337358737670213,cartservice-1:0.22285000799786303,productcatalogservice-2:0.22160333706015758,adservice-2:0.22153371727658258,checkoutservice-0:0.2208541142756414,cartservice-0:0.21126551334874408,productcatalogservice2-0:0.20958986619332862,recommendationservice-0:0.20790964737449055,currencyservice-0:0.20549082884379924,shippingservice2-0:0.20103821630374027,checkoutservice-2:0.19927837670344506,emailservice-1:0.18364808114496375,node-1:0.18335658517605777,emailservice-2:0.17858057322746634,checkoutservice2-0:0.17665095139069062,paymentservice2-0:0.1736303497027145,shippingservice-2:0.16676507012307082,cartservice-2:0.1648869580394248,currencyservice2-0:0.16403212759817845,checkoutservice-1:0.1636504999948926,adservice-1:0.16172651817125586,currencyservice-2:0.15122429445501764,frontend-0:0.14537744122448842,recommendationservice-2:0.1451089736634542,cartservice2-0:0.13906160095523118,paymentservice-0:0.13602827424318772,emailservice2-0:0.13481437827902307,adservice2-0:0.12888304164122566,frontend2-0:0.12875653033804013,paymentservice-1:0.12861738174496662,node-3:0.12307604143279467,recommendationservice2-0:0.12292329003568588,paymentservice-2:0.11530053027018772,node-6:0.09185128822962596,node-2:0.0774365699356886
1651875390,node,node-1,Node Disk Space Consumption,node-1:0.6338581629486829,node-2:0.33892746300182885,node-6:0.3013130678925055,adservice-1:0.2852513201661565,currencyservice-1:0.27757971022680944,recommendationservice-2:0.27079096478621417,cartservice-2:0.26593012152258094,paymentservice2-0:0.25965384317215184,shippingservice2-0:0.2574135065150652,node-5:0.25737749312644637,productcatalogservice-0:0.2569654973557763,currencyservice-2:0.2559119051469025,shippingservice-2:0.2468441407662215,emailservice2-0:0.2446098666344725,cartservice2-0:0.24435254757923752,recommendationservice-0:0.24283237092120089,cartservice-1:0.23856012132718807,adservice-2:0.23568076094481646,productcatalogservice-1:0.23544361663146895,paymentservice-0:0.23019377676088892,paymentservice-2:0.225442468957425,currencyservice2-0:0.2248053827616233,shippingservice-1:0.22478200288078035,cartservice-0:0.22234608322409868,productcatalogservice2-0:0.21657095625993916,emailservice-2:0.21345870089808539,checkoutservice-1:0.21270364263659192,node-4:0.21065134688552534,currencyservice-0:0.21051066705132895,recommendationservice-1:0.20321932492047715,node-3:0.19211977001490732,productcatalogservice-2:0.1916163119445893,frontend2-0:0.1916018764085825,emailservice-0:0.18748099510438776,checkoutservice2-0:0.18388331720762305,frontend-0:0.17611503586279734,frontend-2:0.17558334948685086,adservice2-0:0.1742905245033163,recommendationservice2-0:0.16874404555845088,shippingservice-0:0.16822679068387192,paymentservice-1:0.15804427193921958,checkoutservice-2:0.14921212122537475,checkoutservice-0:0.14900170186826753,frontend-1:0.13461522687458025,adservice-0:0.12888292682769978,emailservice-1:0.12405722381364946
1651876445,service,frontend,Kubernetes Container Read I/O Load,frontend-0:0.7115975774781292,frontend2-0:0.704194762926372,frontend-1:0.7037563456433865,frontend-2:0.699781101682578,currencyservice2-0:0.5878156132025224,shippingservice2-0:0.5305712925199901,productcatalogservice2-0:0.5259961556634495,cartservice2-0:0.5207365278021828,currencyservice-0:0.508040150160002,cartservice-0:0.4888657570772011,currencyservice-1:0.4884140220605639,cartservice-2:0.48668803617017115,paymentservice-2:0.4737950325166591,checkoutservice-0:0.461495192131048,recommendationservice2-0:0.4450303097316974,paymentservice2-0:0.4436734515560637,paymentservice-1:0.43701422994083566,cartservice-1:0.4364134143000791,recommendationservice-1:0.43538800878194867,checkoutservice-2:0.4235995818017562,recommendationservice-0:0.4161708126883679,productcatalogservice-2:0.4140789332461888,productcatalogservice-0:0.4076839574559112,emailservice-1:0.39486573008559755,paymentservice-0:0.3832167392858931,checkoutservice-1:0.3793221609220483,adservice2-0:0.37494528137236877,emailservice-2:0.36662865618708257,emailservice-0:0.3412928481155219,adservice-2:0.307329428201139,currencyservice-2:0.3002142025633824,checkoutservice2-0:0.29979670737166203,recommendationservice-2:0.2848930667378638,shippingservice-0:0.27776038672542885,shippingservice-1:0.27239774158586366,adservice-0:0.23887627523076047,adservice-1:0.23798078422680977,emailservice2-0:0.22563855289027998,productcatalogservice-1:0.18838884007481801,shippingservice-2:0.1784517773609733,node-3:0.154768229550352,node-5:0.14200779538169742,node-2:0.04233443187684344,node-6:0.03586657722072872,node-4:0.03536813758737897,node-1:0.024068222695797
